assessment_name,url,description,test_type
Automata - Fix (New),https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,,
Core Java (Entry Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,,
Java 8 (New),https://www.shl.com/solutions/products/product-catalog/view/java-8-new/,,
Core Java (Advanced Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/,,
Interpersonal Communications,https://www.shl.com/products/product-catalog/view/interpersonal-communications/,,
Entry level Sales 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,,
Entry Level Sales Sift Out 7.1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,,
Entry Level Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-solution/,,
Sales Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/,,
Business Communication (adaptive),https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,,
Technical Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/,,
SVAR - Spoken English (Indian Accent)  (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-indian-accent-new/,,
English Comprehension (New),https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/,,
Enterprise Leadership Report 1.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/,,
Occupational Personality Questionnaire OPQ32r,https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,,
OPQ Leadership Report,https://www.shl.com/solutions/products/product-catalog/view/opq-leadership-report/,,
OPQ Team Types and Leadership Styles Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-report,,
Enterprise Leadership Report 2.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/,,
Global Skills Assessment,https://www.shl.com/solutions/products/product-catalog/view/global-skills-assessment/,,
Verify - Verbal Ability - Next Generation,https://www.shl.com/solutions/products/product-catalog/view/verify-verbal-ability-next-generation/,,
SHL Verify Interactive - Inductive Reasoning,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/,,
Marketing (New),https://www.shl.com/solutions/products/product-catalog/view/marketing-new/,,
English Comprehension (New),https://www.shl.com/products/product-catalog/view/english-comprehension-new/,,
Drupal (New),https://www.shl.com/solutions/products/product-catalog/view/drupal-new/,,
Written English v1,https://www.shl.com/solutions/products/product-catalog/view/written-english-v1/,,
Occupational Personality Questionnaire OPQ32r,https://www.shl.com/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,,
Search Engine Optimization (New),https://www.shl.com/solutions/products/product-catalog/view/search-engine-optimization-new/,,
Automata Selenium,https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/,,
Professional + 7.1 (International),https://www.shl.com/products/product-catalog/view/professional-7-1-solution/,,
JavaScript (New),https://www.shl.com/solutions/products/product-catalog/view/javascript-new/,,
HTML/CSS (New),https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/,,
CSS3 (New),https://www.shl.com/solutions/products/product-catalog/view/css3-new/,,
Selenium (New),https://www.shl.com/solutions/products/product-catalog/view/selenium-new/,,
SQL Server (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-new/,,
Automata - SQL (New),https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/,,
Manual Testing (New),https://www.shl.com/solutions/products/product-catalog/view/manual-testing-new/,,
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,,
Verify - Numerical Ability,https://www.shl.com/solutions/products/product-catalog/view/verify-numerical-ability/,,
Financial Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,,
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,,
General Entry Level â€“ Data Entry 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,,
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/,,
Manager 8.0+ JFA,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/,,
Microsoft Excel 365 - Essentials (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-essentials-new/,,
Digital Advertising (New),https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new/,,
WriteX - Email Writing (Sales) (New),https://www.shl.com/solutions/products/product-catalog/view/writex-email-writing-sales-new/,,
SHL Verify Interactive Numerical Calculation,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-numerical-calculation/,,
Professional + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/,,
SQL Server Analysis Services (SSAS) (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-analysis-services-%28ssas%29-%28new%29/,,
Python (New),https://www.shl.com/solutions/products/product-catalog/view/python-new/,,
Tableau (New),https://www.shl.com/solutions/products/product-catalog/view/tableau-new/,,
Microsoft Excel 365 (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-new/,,
Professional + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/,,
Data Warehousing Concepts,https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/,,
